name,price,stock,description,warranty_period,manufacturer_id,category_id
Spaghetti and Meatball Dinner Kit,7.99,42,"All-in-one meal kit including pasta, meatballs, and sauce for a quick dinner.",9,26,63
Camping Tent,79.99,15,Spacious 2-person camping tent with waterproof cover.,9,68,45
Spicy Chicken Wings,9.99,83,"Wide range of flavored wings, perfect for parties or casual snacking.",7,47,71
Sliced Strawberries,4.99,82,Fresh sliced strawberries for toppings or snacking,12,93,14
Chocolate Chip Cookie Dough,5.49,24,Ready-to-bake cookie dough packed with chocolate chips.,5,61,28
Herb Drying Rack,22.99,48,Mesh drying rack for preserving herbs and flowers.,4,45,73
Smoked Paprika Chicken Thighs,6.99,53,Marinated chicken thighs with smoked paprika for a smoky flavor.,9,85,5
Ramen Noodle Soup Cups,1.29,49,Instant ramen cups with flavor-packed broth.,3,90,12
Sriracha Sauce,3.19,61,Spicy chili sauce for an extra kick in your meals.,6,3,7
Wall-Mounted Spice Rack,39.99,52,Space-saving rack to store and organize spices conveniently.,5,33,55
Pet Hair Removal Brush,14.99,33,Effective brush for removing loose hair from pets.,10,79,71
Chickpea Salad Deluxe,4.29,99,"Chickpeas mixed with fresh vegetables and herbs, a nutritious snack or salad.",10,39,98
Sculpting Kit,25.99,63,Complete sculpting tools for artists.,6,75,58
Organic Cucumber,1.29,96,Fresh organic cucumber perfect for salads or snacking.,12,90,41
Safety Pin Dispenser,5.99,5,Handy dispenser for quick access to safety pins.,4,44,36
Fresh Lemons,0.75,99,Citrusy lemons perfect for drinks and cooking.,10,44,93
Spicy Thai Coconut Soup,3.99,75,"A ready-to-eat soup with coconut milk, spices, and vegetables.",8,54,97
Kids' Outdoor Explorer Kit,24.99,23,Fun kit for aspiring explorers with binoculars and a compass.,1,62,36
Coconut Lime Rice,2.99,71,"Flavorful rice mixed with coconut and lime, a tropical side dish.",4,55,80
Travel Luggage Scale,14.99,27,Digital scale to avoid overweight baggage fees.,9,61,40
Chocolate Chip Cliff Bars,2.49,78,Nutritious energy bars packed with chocolate chips.,1,79,56
Lemon Garlic Shrimp,8.99,68,"Marinated shrimp in a garlic and lemon sauce, perfect for grilling.",9,23,42
Chia Seeds,6.99,97,"Nutty flavored chia seeds, packed with nutrients.",2,55,37
Foldable Picnic Table,49.99,18,Lightweight and portable picnic table for outdoor use.,10,34,29
Casual Cropped Sweater,39.99,78,A trendy cropped sweater perfect for a casual look.,7,58,23
Electric Heating Pad,20.99,17,Microwaveable heating pad for muscle pain relief and relaxation.,4,80,91
Garden Kneeler and Seat,39.99,90,Convertible kneeler and seat for gardening comfort.,9,1,85
Vegan Chickpea Salad,3.99,48,"Healthy salad made with chickpeas, vegetables, and a lemon dressing.",7,99,59
Pet Bed with Removable Cover,49.99,62,Comfy pet bed with washable cover for easy cleaning.,8,6,2
Cucumber Relish,3.39,7,"Sweet relish made from cucumbers, perfect for sandwiches.",10,29,2
Bamboo Cotton Tank Top,22.99,86,"Sustainable tank top made of bamboo cotton, offering breathability and comfort.",4,90,4
LED Table Lamp,29.99,42,Modern LED table lamp with touch control.,2,54,18
Water-Resistant Bluetooth Speaker,59.99,81,Durable speaker designed for outdoor use with water resistance.,12,92,83
Vegetable Samosas,4.99,18,Crispy pastry filled with seasoned vegetables.,2,43,18
Organic Quinoa,4.29,87,Nutritious organic quinoa for salads or sides,3,86,29
Breathable Face Mask Set,14.99,32,Comfortable and reusable face masks in different styles.,8,22,60
Sweet Cherry Tomatoes,2.99,60,Fresh and juicy cherry tomatoes for salads and snacking.,5,86,58
Pasta Maker Machine,59.99,37,Manual pasta maker for creating fresh pasta at home.,2,86,31
Multi-Port USB Hub,19.99,94,USB hub for expanding ports on computers and laptops.,2,48,98
Organic Black Bean Burger,4.49,55,Delicious plant-based burger made with organic black beans and spices.,5,90,96
Collapsible Colander,14.99,93,Space-saving colander for rinsing fruits and vegetables.,1,61,27
Cranberry Almond Biscotti,4.19,6,Crispy and delicious biscotti flavored with cranberry and almond.,4,9,36
Juice Extractor,99.99,86,Efficient juicer for fresh fruit and vegetable juices.,1,97,36
Chickpea Flour,3.29,38,"Gluten-free flour made from ground chickpeas, great for cooking.",11,28,90
Tomato Sauce,2.79,69,Rich and flavorful tomato sauce for pasta or pizza.,3,91,13
Electric Air Pump,29.99,4,Fast and convenient air pump for inflating toys and furniture.,5,13,98
Children's Musical Instrument Set,39.99,62,Fun instruments to introduce kids to music.,3,54,78
Stainless Steel Cutlery Set,29.99,33,High-quality cutlery set for daily use or special occasions.,4,24,51
Peanut Butter Cookies,3.49,62,Soft and chewy cookies made with creamy peanut butter.,2,57,40
Sweet Potato Mash,3.99,24,"Creamy mashed sweet potatoes, ready to heat and serve.",9,74,87
Brown Rice,1.79,39,Nutty and wholesome brown rice.,8,60,47
Organic Whole Grain Oats,2.49,92,Whole grain oats that are perfect for breakfast or baking.,12,70,4
Almond Flour Biscuits,6.49,54,Gluten-free biscuits made with almond flour.,7,34,91
Organic Coconut Sugar,4.19,19,"A natural sweetener made from coconut sap, a healthier alternative to sugar.",5,54,30
Smoked Paprika Chicken Thighs,6.99,94,Marinated chicken thighs with smoked paprika for a smoky flavor.,4,43,5
Buffalo Wing Sauce,3.99,26,Spicy sauce perfect for chicken wings and dipping.,8,5,33
Pumpkin Ice Cream,4.99,59,"Seasonal pumpkin ice cream, perfect for fall.",2,40,76
Tahini,5.49,18,Creamy tahini made from ground sesame seeds.,10,61,45
Teriyaki Chicken Bowl,6.49,60,Ready-to-eat chicken bowl with teriyaki sauce and rice.,6,26,89
Stylish Wireless Earbuds,59.99,85,True wireless earbuds with excellent sound quality.,9,7,95
Sweet Potato Noodles,3.79,80,"Pasta alternative made from sweet potatoes, gluten-free and rich in flavor.",11,83,48
Portable Massage Gun,79.99,69,Personal massager for muscle recovery.,12,80,9
Vegan Tacos,7.49,85,Frozen vegan tacos filled with plant-based protein and spices.,2,37,13
Children's Gardening Set,19.99,38,Fun gardening tools designed specifically for kids.,3,59,74
Children's Educational Workbook,12.99,61,Activity workbook for early learning and fun.,8,85,13
Mediterranean Chickpea Salad,5.99,88,"A refreshing salad with chickpeas, cucumber, tomatoes, and a light vinaigrette dressing.",1,19,60
Pear and Gorgonzola Salad,5.49,100,"Fresh salad with pears, gorgonzola cheese, and nuts, perfect for lunch.",2,100,93
Fitness Balance Ball,24.99,12,Stability ball for Pilates and yoga workouts.,6,49,16
Essential White Button-Up,44.99,92,A classic white button-up shirt for a polished appearance.,3,9,81
Coconut Oil,6.49,90,Versatile organic coconut oil for cooking and baking.,10,96,34
Almond Butter Crunch Bar,1.99,77,Nutritious snack bar made with almond butter and protein.,8,43,66
Pet Grooming Brush,19.99,45,Self-cleaning grooming brush for cats and dogs.,2,13,79
Cauliflower Rice Stir-Fry,4.99,41,Frozen cauliflower rice blended with mixed vegetables and seasonings.,1,16,5
Fleece Lined Leggings,29.99,36,Comfortable and warm leggings perfect for colder weather.,2,100,71
Lightweight Workout Tank,29.99,18,Breathable tank top perfect for workouts or casual wear.,6,72,9
